Kernel name,Instrumented,Fuzzed
_HostConstantOp,1,0
AbortOp,1,1
AccumulatorNumAccumulatedOp,0,0
AccumulatorSetGlobalStepOp,0,0
AddManySparseToTensorsMapOp,1,1
AddNOp,1,1
AddSparseToTensorsMapOp,1,1
AdjustContrastOp,1,0
AdjustContrastOpV2Base,1,1
AdjustHueOpBase,0,0
AdjustSaturationOpBase,1,1
ApplyAdadeltaOp,0,0
ApplyAdagradDAOp,0,0
ApplyAdagradOp,0,0
ApplyAdagradV2Op,0,0
ApplyAdaMaxOp,0,0
ApplyAdamOp,0,0
ApplyAdamWithAmsgradOp,0,0
ApplyAddSignOp,0,0
ApplyCenteredRMSPropOp,0,0
ApplyFtrlOp,0,0
ApplyGradientDescentOp,0,0
ApplyKerasMomentumOp,0,0
ApplyMomentumOp,0,0
ApplyPowerSignOp,0,0
ApplyProximalAdagradOp,0,0
ApplyProximalGradientDescentOp,0,0
ApplyRMSPropOp,0,0
ApproximateEqualOp,1,1
ArgOp,1,1
AssertOp,1,1
AssignOp,0,0
AssignUpdateVariableOp,0,0
AssignVariableOp,0,0
AsStringOp,1,1
AudioSpectrogramOp,1,1
AvgPooling3dGradOp,1,1
AvgPoolingGradOp,1,1
AvgPoolingOp,1,1
BandedTriangularSolveOpCpu,1,1
BaseBatchMatMulOp,1,1
BaseCandidateSamplerOp,1,1
BaseMatrixTriangularSolveOp,1,1
BatchNormGradOp,1,1
BatchNormOp,1,1
BatchToSpaceNDOp,1,1
BatchToSpaceOp,1,0
BCastArgsOp,1,1
BCastGradArgsOp,1,1
BetaincOp,1,1
BiasGradOp,1,1
BiasOp,1,1
BinaryOp,1,1
BincountOp,1,1
BlockLSTMGradOp,1,1
BlockLSTMOp,1,1
BoostedTreesAggregateStatsOp,1,1
BoostedTreesBucketizeOp,1,1
BoostedTreesCalculateBestFeatureSplitOp,1,0
BoostedTreesCalculateBestFeatureSplitV2,1,1
BoostedTreesCalculateBestGainsPerFeatureOp,1,1
BoostedTreesCenterBiasOp,0,0
BoostedTreesCreateEnsembleOp,1,0
BoostedTreesCreateQuantileStreamResourceOp,1,0
BoostedTreesDeserializeEnsembleOp,0,0
BoostedTreesExampleDebugOutputsOp,1,0
BoostedTreesFlushQuantileSummariesOp,0,0
BoostedTreesGetEnsembleStatesOp,0,0
BoostedTreesMakeQuantileSummariesOp,1,1
BoostedTreesMakeStatsSummaryOp,0,0
BoostedTreesPredictOp,1,0
BoostedTreesQuantileStreamResourceAddSummariesOp,0,0
BoostedTreesQuantileStreamResourceDeserializeOp,0,0
BoostedTreesQuantileStreamResourceFlushOp,0,0
BoostedTreesQuantileStreamResourceGetBucketBoundariesOp,0,0
BoostedTreesSerializeEnsembleOp,0,0
BoostedTreesSparseAggregateStatsOp,1,1
BoostedTreesSparseCalculateBestFeatureSplitOp,1,1
BoostedTreesTrainingPredictOp,1,0
BoostedTreesUpdateEnsembleOp,0,0
BoostedTreesUpdateEnsembleV2Op,0,0
BroadcastToOp,1,1
BucketizeOp,1,1
CastOpBase,1,1
CheckNumericsOp,1,1
ClipOp,1,0
CloseSummaryWriterOp,1,0
CombinedNonMaxSuppressionOp,1,0
CompositeTensorVariantFromComponents,1,1
CompositeTensorVariantToComponents,1,1
CompressElementOp,1,1
ComputeAccidentalHitsOp,1,1
ComputeBatchSizeOp,1,1
ConcatBaseOp,1,1
ConcatOffsetOp,1,1
ConditionalAccumulatorBaseApplyGradientOp,0,0
ConditionalAccumulatorBaseOp,0,0
ConditionalAccumulatorBaseSyncOpKernel,1,0
ConstantOp,1,1
ConsumeMutexLockOp,0,0
ControlTriggerOp,1,0
Conv2DBackpropFilterOp,1,0
Conv2DBackpropInputOp,1,0
Conv2DCustomBackpropFilterOp,1,1
Conv2DCustomBackpropInputOp,1,1
Conv2DOp,1,1
Conv2DUsingGemmOp,1,0
Conv3DBackpropFilterOp,1,1
Conv3DBackpropInputOp,1,0
Conv3DCustomBackpropFilterOp,1,1
Conv3DCustomBackpropInputOp,1,1
Conv3DOp,1,1
CopyOp,1,1
CopyOpBase,1,1
CountUpToOp,0,0
CreateSummaryDbWriterOp,1,0
CreateSummaryFileWriterOp,1,0
CrossOp,1,1
CSRAddOp,1,0
CSRMatMulCPUOp,1,1
CSRMatMulGPUOp,1,0
CSRMulOp,1,0
CSRNNZOp,1,1
CSROrderingAMDCPUOp,1,1
CSRSoftmaxGradOp,1,0
CSRSoftmaxOp,1,0
CSRSparseCholeskyCPUOp,1,1
CSRSparseMatMulCPUOp,1,1
CSRSparseMatMulGPUOp,1,0
CSRSparseMatrixComponentsOp,1,1
CSRSparseMatrixToDenseCPUOp,1,1
CSRSparseMatrixToDenseGPUOp,1,0
CSRSparseMatrixToSparseTensorCPUOp,1,1
CSRSparseMatrixToSparseTensorGPUOp,1,0
CSRTransposeOp,1,1
CSRZerosOp,1,0
CTCBeamSearchDecoderOp,1,1
CTCGreedyDecoderOp,1,1
CTCLossOp,1,1
DataFormatDimMapOp,1,1
DataFormatVecPermuteOp,1,1
DatasetCardinalityOp,1,1
DatasetFromGraphOp,1,1
DatasetToGraphOp,1,1
DebugIdentityOp,1,1
DebugIdentityV2Op,1,1
DebugNanCountOp,1,1
DebugNumericSummaryOp,0,0
DebugNumericSummaryV2Op,1,1
DecodeBase64Op,1,1
DecodeCompressedOp,1,1
DecodeCSVOp,1,1
DecodeImageV2Op,1,1
DecodeJSONExampleOp,1,1
DecodePaddedRawOp,1,1
DecodeProtoOp,1,0
DecodeRawOp,1,1
DecodeWavOp,1,1
DeleteMemoryCacheOp,0,0
DeleteMultiDeviceIteratorOp,0,0
DeleteSeedGeneratorOp,0,0
DeleteSessionTensorOp,1,1
DenseBincountOp,1,1
DenseCount,1,1
DenseToCSRSparseMatrixCPUOp,1,1
DenseUpdateOp,0,0
DepthToSpaceOp,1,1
DepthwiseConv2dNativeBackpropFilterOp,1,1
DepthwiseConv2dNativeBackpropInputOp,1,1
DepthwiseConv2dNativeOp,1,1
DequantizeOp,1,1
DeserializeIteratorOp,1,0
DeserializeSparseOp,1,1
DestroyResourceOp,0,0
DestroyTemporaryVariableOp,0,0
DeviceIndexOp,1,1
DiagOp,1,1
DiagPartOp,1,1
DilationBackpropFilterOp,1,1
DilationBackpropInputOp,1,1
DilationOp,1,1
DrawBoundingBoxesOp,1,1
DynamicPartitionOp,1,1
DynamicStitchOpImplCPU,1,1
EditDistanceOp,1,1
EinsumOp,1,1
EmptyOp,1,1
EmptyTensorList,0,0
EmptyTensorMap,1,1
EncodeBase64Op,1,1
EncodeJpegOp,1,1
EncodeJpegVariableQualityOp,1,1
EncodePngOp,1,1
EncodeWavOp,1,1
EnsureShapeOp,1,1
EnterOp,1,1
ExitOp,1,1
ExpandDimsOp,1,1
ExtractGlimpseOp,1,1
ExtractImagePatchesOp,1,1
ExtractJpegShapeOp,1,1
ExtractVolumePatchesOp,1,1
FactOpKernel,0,0
FactOpKernel1,0,0
FactOpKernel2,0,0
FailureKernel,0,0
FakeParamOp,1,0
FakeQuantWithMinMaxVarsGradientOp,1,1
FakeQuantWithMinMaxVarsOp,1,1
FakeQuantWithMinMaxVarsPerChannelGradientOp,1,1
FakeQuantWithMinMaxVarsPerChannelOp,1,1
FakeQueueOp,0,0
FFTBase,1,1
FillOp,1,1
FingerprintOp,1,1
FlushSummaryWriterOp,1,0
FractionalAvgPoolGradOp,1,1
FractionalAvgPoolOp,1,1
FractionalMaxPoolGradOp,1,1
FractionalMaxPoolOp,1,1
FusedBatchNormGradOp,1,1
FusedBatchNormGradOpV3,1,1
FusedBatchNormOp,1,1
FusedBatchNormOpEx,1,0
FusedBatchNormOpV3,1,1
FusedConv2DOp,1,1
FusedMatMulOp,1,1
FusedResizeConv2DUsingGemmOp,1,1
GatherNdOp,1,1
GatherOp,1,1
GenerateVocabRemappingOp,1,1
GetAlgOp,1,1
GetKeyCounterAlgOp,1,0
GetKeyCounterOp,1,1
GetOptionsOp,1,1
GetSessionHandleOp,0,0
GetSessionTensorOp,1,1
GRUBlockCellGradOp,1,0
GRUCellBlockOp,1,0
GuaranteeConstOp,1,1
HistogramFixedWidthOp,1,1
HSVToRGBOp,1,1
IdentityNOp,1,1
IdentityOp,1,1
ImageProjectiveTransformV2,1,1
ImmutableConstantOp,1,1
ImportEventOp,1,0
InitializeTableFromTextFileOp,0,0
InitializeTableOp,0,0
InplaceOpBase,1,1
InTopK,1,1
InvertPermutationOp,1,1
IsotonicRegressionOp,0,0
IsVariableInitializedOp,1,0
IteratorFromStringHandleOp,0,0
IteratorGetDeviceOp,1,0
IteratorHandleOp,0,0
IteratorToStringHandleOp,0,0
KMC2ChainInitializationOp,1,1
KmeansPlusPlusInitializationOp,1,1
L2LossOp,1,1
LegacyStringToHashBucketOp,1,1
LinearAlgebraOp,0,0
LinSpaceOp,1,1
ListDiffOp,1,1
LoadAndRemapMatrixOp,1,1
LookupTableExportOp,1,0
LookupTableFindOp,1,0
LookupTableImportOp,1,0
LookupTableInsertOp,1,0
LookupTableOp,0,0
LookupTableRemoveOp,1,0
LookupTableSizeOp,1,0
LoopCondOp,1,1
LowerBoundOp,1,1
LRNGradOp,1,1
LRNOp,1,1
LSTMBlockCellGradOp,1,1
LSTMBlockCellOp,1,1
LuOp,1,1
MapClearOp,1,1
MapIncompleteSizeOp,1,1
MapPeekOp,1,1
MapSizeOp,1,1
MapStageOp,1,1
MapUnstageNoKeyOp,1,1
MapUnstageOp,1,1
MatchingFilesOp,1,1
MatrixBandPartOp,1,1
MatrixDiagOp,1,1
MatrixDiagPartOp,1,1
MatrixSetDiagOp,1,1
MaxPooling3dGradGradOp,1,1
MaxPooling3dGradOp,1,1
MaxPoolingGradGradOp,1,1
MaxPoolingGradGradWithArgmaxOp,1,0
MaxPoolingGradOp,1,1
MaxPoolingGradWithArgmaxOp,1,1
MaxPoolingNoMaskOp,1,0
MaxPoolingNoMaskV2Op,1,0
MaxPoolingOp,1,1
MaxPoolingV2Op,1,1
MaxPoolingWithArgmaxOp,1,1
MergeOp,1,0
MergeV2Checkpoints,1,1
MfccOp,1,1
MirrorPadGradOp,1,1
MirrorPadOp,1,1
MlirOp,1,0
MultiDeviceIteratorFromStringHandleOp,0,0
MultiDeviceIteratorHandleOp,0,0
MultiDeviceIteratorInitOp,1,0
MultiDeviceIteratorToStringHandleOp,0,0
NearestNeighborsOp,1,1
NegTrainOp,1,0
NextIterationOp,1,1
NonDeterministicIntsOp,1,1
NonMaxSuppressionOp,1,0
NonMaxSuppressionV2Op,1,1
NonMaxSuppressionV3Op,1,1
NonMaxSuppressionV4Op,1,1
NonMaxSuppressionV5Op,1,1
NonMaxSuppressionWithOverlapsOp,1,1
NoOp,1,1
NthElementOp,1,1
OneHotOp,1,1
OnesLikeOp,1,0
OptionalFromValueOp,1,1
OptionalGetValueOp,1,1
OptionalHasValueOp,1,1
OptionalNoneOp,1,1
PackOp,1,1
PadOp,1,1
ParallelConcatStart,1,1
ParallelConcatUpdate,1,1
ParameterizedTruncatedNormalOp,1,1
ParseExampleOp,1,1
ParseSequenceExampleOp,1,1
ParseSingleExampleOp,1,0
ParseSingleSequenceExampleOp,1,0
ParseTensorOp,1,1
PassOn,1,0
PhiloxRandomOp,0,0
PlaceholderOp,1,1
Pooling3DOp,1,1
PopulationCountOp,1,1
PrintOp,0,0
PrintV2Op,1,1
QuantizeAndDequantizeOp,1,0
QuantizeAndDequantizeV2Op,1,1
QuantizeAndDequantizeV3Op,1,1
QuantizeAndDequantizeV4GradientOp,1,1
QuantizedAddOp,1,1
QuantizedAvgPoolingOp,1,1
QuantizedBatchNormOp,1,1
QuantizedBiasAddOp,1,1
QuantizedConcatOp,1,1
QuantizedConv2DOp,1,1
QuantizedInstanceNorm,1,1
QuantizedMatMulOp,1,1
QuantizedMaxPoolingOp,1,1
QuantizedMulOp,1,1
QuantizeDownAndShrinkRangeOp,1,1
QuantizedRelu6Op,1,1
QuantizedReluOp,1,1
QuantizedReshapeOp,1,1
QuantizedResizeBilinearOp,1,1
QuantizeV2Op,1,1
RaggedBincountOp,1,1
RaggedCount,1,1
RaggedCrossOp,1,1
RaggedGatherOpBase,1,1
RaggedRangeOp,1,1
RaggedTensorFromVariantOp,1,1
RaggedTensorToSparseOp,1,1
RaggedTensorToTensorBaseOp,1,1
RaggedTensorToVariantGradientOp,1,1
RaggedTensorToVariantOp,1,1
RandomBinomialOp,1,0
RandomCropOp,1,0
RandomGammaOp,0,0
RandomPoissonOp,1,1
RandomShuffleOp,1,1
RandomUniformIntOp,0,0
RangeOp,1,1
RankOp,1,1
ReaderVerbSyncOpKernel,1,0
ReadFileOp,1,1
ReadVariableOp,0,0
ReadVariablesOp,0,0
RecordInputOp,1,1
ReduceJoinOp,1,1
ReductionOp,1,1
RefSelectOp,1,0
RegexFullMatchOp,1,1
RegexReplaceOp,1,1
RegisterDatasetOp,1,1
RequantizationRangeOp,1,1
RequantizeOp,1,1
ReshapeOp,1,1
ResizeAreaOp,1,1
ResizeBicubicOp,1,1
ResizeBicubicOpGrad,1,1
ResizeBilinearOp,1,1
ResizeBilinearOpGrad,1,1
ResizeNearestNeighborOp,1,1
ResizeNearestNeighborOpGrad,1,1
ResourceCountUpToOp,0,0
ResourceGatherNdOp,0,0
ResourceGatherOp,0,0
ResourceScatterUpdateOp,0,0
RestoreOp,1,1
RestoreSliceOp,1,1
RestoreV2,1,1
RetvalOp,1,1
ReverseOp,1,1
ReverseSequenceOp,1,1
ReverseV2Op,1,1
RGBToHSVOp,1,1
RiscAbsOp,1,0
RiscAddOp,1,0
RiscBinaryArithmeticOp,1,0
RiscBinaryComparisonOp,1,0
RiscBitcastOp,1,0
RiscBroadcastOp,1,0
RiscCastOp,1,0
RiscCeilOp,1,0
RiscCholeskyOp,1,0
RiscConcatOp,1,0
RiscConditionOp,1,0
RiscConvOp,1,0
RiscCosOp,1,0
RiscDivOp,1,0
RiscDotOp,1,0
RiscExpOp,1,0
RiscFftOp,1,0
RiscFloorOp,1,0
RiscGatherOp,1,0
RiscImagOp,1,0
RiscIsFiniteOp,1,0
RiscLogicalAndOp,1,0
RiscLogicalNotOp,1,0
RiscLogicalOrOp,1,0
RiscLogOp,1,0
RiscMaxOp,1,0
RiscMinOp,1,0
RiscMulOp,1,0
RiscNegOp,1,0
RiscPadOp,1,0
RiscPoolOp,1,0
